employee_id,performance,years_of_experience,projects_completed,bonus
EMP_001,7,1,3,116
EMP_002,4,8,10,136
EMP_003,8,4,5,150
EMP_004,5,4,7,118
EMP_005,7,5,6,146
EMP_006,10,8,9,206
EMP_007,3,5,8,102
EMP_008,7,8,11,174
EMP_009,8,10,12,200
EMP_010,5,1,4,94
EMP_011,4,10,12,152
EMP_012,8,9,11,192
EMP_013,8,6,8,168
EMP_014,3,3,6,86
EMP_015,6,8,9,158
EMP_016,5,9,11,156
EMP_017,2,6,7,94
EMP_018,8,7,8,174
EMP_019,6,1,4,106
EMP_020,2,5,6,86
EMP_021,5,5,6,122
EMP_022,1,10,13,118
EMP_023,10,4,6,176
EMP_024,6,6,7,142
EMP_025,9,7,10,190
EMP_026,1,9,10,106
EMP_027,10,1,2,150
EMP_028,3,6,8,108
EMP_029,7,7,8,162
EMP_030,4,3,6,98
EMP_031,9,8,9,194
EMP_032,3,5,7,100
EMP_033,5,9,11,156
EMP_034,3,5,8,102
EMP_035,7,9,11,180
EMP_036,5,10,11,162
EMP_037,9,4,6,164
EMP_038,7,9,12,182
EMP_039,2,5,7,88
EMP_040,4,10,12,152
EMP_041,9,9,11,204
EMP_042,2,3,6,74
EMP_043,10,4,6,176
EMP_044,9,9,11,204
EMP_045,10,10,11,222
EMP_046,5,6,9,134
EMP_047,2,2,4,64
EMP_048,4,7,10,130
EMP_049,7,2,4,124
EMP_050,8,2,4,136
EMP_051,3,1,3,68
EMP_052,1,3,4,58
EMP_053,4,6,7,118
EMP_054,2,8,9,110
EMP_055,8,9,12,194
EMP_056,4,7,10,130
EMP_057,2,4,5,78
EMP_058,6,6,9,146
EMP_059,6,5,7,136
EMP_060,10,8,10,208
EMP_061,4,1,3,80
EMP_062,6,1,2,102
EMP_063,2,6,9,98
EMP_064,10,10,11,222
EMP_065,2,2,5,66
EMP_066,10,5,7,184
EMP_067,4,1,2,78
EMP_068,8,7,10,178
EMP_069,7,1,4,118
EMP_070,9,4,6,164
EMP_071,8,9,10,190
EMP_072,5,1,2,90
EMP_073,2,4,5,78
EMP_074,5,6,8,132
EMP_075,8,6,7,166
EMP_076,10,8,10,208
EMP_077,9,1,3,140
EMP_078,9,7,9,188
EMP_079,1,1,4,46
EMP_080,9,7,8,186
EMP_081,7,3,4,130
EMP_082,9,8,10,196
EMP_083,8,3,5,144
EMP_084,1,1,2,42
EMP_085,8,8,10,184
EMP_086,8,3,4,142
EMP_087,3,2,5,78
EMP_088,1,1,3,44
EMP_089,8,3,4,142
EMP_090,3,2,4,76
EMP_091,3,2,3,74
EMP_092,1,6,7,82
EMP_093,5,1,3,92
EMP_094,10,2,5,162
EMP_095,7,6,7,154
EMP_096,10,3,4,166
EMP_097,9,4,5,162
EMP_098,7,1,4,118
EMP_099,9,8,11,198
EMP_100,8,7,9,176
EMP_101,2,7,10,106
EMP_102,1,3,5,60
EMP_103,7,10,12,188
EMP_104,7,10,13,190
EMP_105,8,3,5,144
EMP_106,5,2,5,102
EMP_107,3,1,3,68
EMP_108,8,7,10,178
EMP_109,6,7,10,154
EMP_110,3,2,4,76
EMP_111,1,7,8,90
EMP_112,3,8,10,124
EMP_113,5,1,4,94
EMP_114,3,9,10,130
EMP_115,1,7,9,92
EMP_116,5,3,5,108
EMP_117,10,8,10,208
EMP_118,7,7,8,162
EMP_119,7,8,11,174
EMP_120,9,6,8,180
EMP_121,10,9,11,216
EMP_122,10,5,7,184
EMP_123,3,3,5,84
EMP_124,7,3,5,132
EMP_125,1,1,4,46
EMP_126,4,8,11,138
EMP_127,4,2,4,88
EMP_128,5,3,4,106
EMP_129,7,8,11,174
EMP_130,7,8,9,170
EMP_131,4,4,7,106
EMP_132,7,4,6,140
EMP_133,3,5,8,102
EMP_134,6,6,8,144
EMP_135,2,5,8,90
EMP_136,10,7,9,200
EMP_137,9,2,4,148
EMP_138,5,7,9,140
EMP_139,6,10,12,176
EMP_140,4,7,8,126
EMP_141,10,1,3,152
EMP_142,7,7,8,162
EMP_143,9,5,6,170
EMP_144,7,3,5,132
EMP_145,1,3,4,58
EMP_146,1,4,7,70
EMP_147,9,2,4,148
EMP_148,9,2,3,146
EMP_149,4,1,3,80
EMP_150,9,5,7,172
EMP_151,3,4,6,92
EMP_152,7,10,11,186
EMP_153,6,2,5,114
EMP_154,8,3,6,146
EMP_155,9,7,8,186
EMP_156,5,7,9,140
EMP_157,1,4,5,66
EMP_158,3,5,6,98
EMP_159,10,5,6,182
EMP_160,8,6,8,168
EMP_161,6,9,10,166
EMP_162,8,2,4,136
EMP_163,9,5,6,170
EMP_164,4,3,6,98
EMP_165,1,4,5,66
EMP_166,1,10,11,114
EMP_167,10,6,9,194
EMP_168,4,8,10,136
EMP_169,7,1,3,116
EMP_170,2,10,11,126
EMP_171,3,8,11,126
EMP_172,1,7,9,92
EMP_173,5,1,2,90
EMP_174,1,2,5,54
EMP_175,8,3,5,144
EMP_176,1,1,3,44
EMP_177,1,9,12,110
EMP_178,2,8,11,114
EMP_179,2,2,5,66
EMP_180,6,9,12,170
EMP_181,7,7,8,162
EMP_182,5,9,12,158
EMP_183,1,6,8,84
EMP_184,1,6,8,84
EMP_185,3,4,5,90
EMP_186,2,10,12,128
EMP_187,5,10,12,164
EMP_188,10,2,5,162
EMP_189,6,7,9,152
EMP_190,7,5,6,146
EMP_191,4,6,9,122
EMP_192,7,2,5,126
EMP_193,8,5,6,158
EMP_194,1,10,13,118
EMP_195,6,4,7,130
EMP_196,8,9,10,190
EMP_197,5,6,9,134
EMP_198,4,2,3,86
EMP_199,2,1,2,54
EMP_200,6,5,7,136
EMP_201,6,9,11,168
EMP_202,1,6,9,86
EMP_203,9,10,13,214
EMP_204,6,7,8,150
EMP_205,3,5,8,102
EMP_206,4,10,11,150
EMP_207,4,6,7,118
EMP_208,3,5,8,102
EMP_209,10,9,10,214
EMP_210,3,6,8,108
EMP_211,3,8,11,126
EMP_212,4,2,4,88
EMP_213,7,9,12,182
EMP_214,4,5,6,110
EMP_215,9,7,10,190
EMP_216,1,10,12,116
EMP_217,8,1,2,126
EMP_218,7,10,13,190
EMP_219,2,5,8,90
EMP_220,8,10,13,202
EMP_221,1,2,4,52
EMP_222,9,6,8,180
EMP_223,9,1,4,142
EMP_224,2,3,4,70
EMP_225,7,5,6,146
EMP_226,10,4,6,176
EMP_227,3,3,4,82
EMP_228,7,10,12,188
EMP_229,10,5,8,186
EMP_230,9,8,10,196
EMP_231,4,4,6,104
EMP_232,1,1,4,46
EMP_233,2,7,8,102
EMP_234,1,8,10,100
EMP_235,5,3,5,108
EMP_236,5,6,9,134
EMP_237,7,2,3,122
EMP_238,9,7,9,188
EMP_239,9,8,11,198
EMP_240,3,6,8,108
EMP_241,3,6,9,110
EMP_242,3,5,6,98
EMP_243,4,8,9,134
EMP_244,8,1,2,126
EMP_245,6,10,11,174
EMP_246,8,4,6,152
EMP_247,1,4,6,68
EMP_248,8,3,4,142
EMP_249,4,3,4,94
EMP_250,1,4,5,66
EMP_251,8,1,3,128
EMP_252,4,2,3,86
EMP_253,6,9,10,166
EMP_254,8,10,11,198
EMP_255,4,2,5,90
EMP_256,3,5,6,98
EMP_257,9,9,12,206
EMP_258,3,9,12,134
EMP_259,9,8,9,194
EMP_260,2,1,4,58
EMP_261,2,1,2,54
EMP_262,2,9,11,120
EMP_263,6,8,10,160
EMP_264,3,10,12,140
EMP_265,9,9,11,204
EMP_266,4,7,10,130
EMP_267,1,3,4,58
EMP_268,4,3,4,94
EMP_269,1,2,3,50
EMP_270,5,5,7,124
EMP_271,4,3,5,96
EMP_272,8,6,7,166
EMP_273,8,2,4,136
EMP_274,7,3,4,130
EMP_275,3,5,6,98
EMP_276,1,1,2,42
EMP_277,1,1,2,42
EMP_278,3,10,11,138
EMP_279,6,9,10,166
EMP_280,7,7,8,162
EMP_281,6,1,3,104
EMP_282,6,8,9,158
EMP_283,6,3,4,118
EMP_284,3,8,10,124
EMP_285,6,5,7,136
EMP_286,8,1,3,128
EMP_287,2,7,8,102
EMP_288,5,5,8,126
EMP_289,1,6,9,86
EMP_290,1,6,8,84
EMP_291,5,8,11,150
EMP_292,3,9,11,132
EMP_293,4,2,3,86
EMP_294,3,9,12,134
EMP_295,1,10,11,114
EMP_296,1,9,12,110
EMP_297,5,10,11,162
EMP_298,6,10,13,178
EMP_299,3,7,8,114
EMP_300,9,1,2,138
EMP_301,5,7,10,142
EMP_302,8,10,11,198
EMP_303,1,5,6,74
EMP_304,5,6,7,130
EMP_305,3,10,13,142
EMP_306,1,7,10,94
EMP_307,4,5,6,110
EMP_308,5,7,8,138
EMP_309,7,9,12,182
EMP_310,1,3,6,62
EMP_311,3,8,9,122
EMP_312,2,2,3,62
EMP_313,9,7,8,186
EMP_314,10,2,4,160
EMP_315,6,4,7,130
EMP_316,10,7,9,200
EMP_317,3,3,6,86
EMP_318,8,2,5,138
EMP_319,8,10,13,202
EMP_320,2,7,10,106
EMP_321,6,1,4,106
EMP_322,7,8,11,174
EMP_323,2,3,6,74
EMP_324,10,2,4,160
EMP_325,2,3,4,70
EMP_326,10,5,6,182
EMP_327,1,8,10,100
EMP_328,8,10,12,200
EMP_329,1,7,9,92
EMP_330,9,7,9,188
EMP_331,6,7,10,154
EMP_332,7,8,9,170
EMP_333,10,1,4,154
EMP_334,7,4,5,138
EMP_335,10,6,7,190
EMP_336,3,9,11,132
EMP_337,2,2,5,66
EMP_338,9,1,3,140
EMP_339,8,10,13,202
EMP_340,10,2,3,158
EMP_341,7,7,9,164
EMP_342,9,3,5,156
EMP_343,4,10,11,150
EMP_344,4,2,3,86
EMP_345,1,7,8,90
EMP_346,8,2,4,136
EMP_347,3,3,6,86
EMP_348,7,7,9,164
EMP_349,2,4,7,82
EMP_350,2,1,3,56
EMP_351,7,5,7,148
EMP_352,6,9,10,166
EMP_353,3,8,11,126
EMP_354,9,9,11,204
EMP_355,10,10,12,224
EMP_356,6,9,10,166
EMP_357,10,7,8,198
EMP_358,10,4,7,178
EMP_359,6,5,7,136
EMP_360,1,1,4,46
EMP_361,4,1,3,80
EMP_362,10,3,6,170
EMP_363,6,8,9,158
EMP_364,6,2,4,112
EMP_365,5,4,7,118
EMP_366,1,2,3,50
EMP_367,8,5,6,158
EMP_368,5,9,12,158
EMP_369,5,1,3,92
EMP_370,7,5,7,148
EMP_371,4,9,10,142
EMP_372,6,1,3,104
EMP_373,4,9,11,144
EMP_374,3,8,10,124
EMP_375,7,4,5,138
EMP_376,8,10,13,202
EMP_377,4,5,7,112
EMP_378,2,5,6,86
EMP_379,10,6,7,190
EMP_380,3,7,10,118
EMP_381,1,8,10,100
EMP_382,8,8,10,184
EMP_383,3,2,5,78
EMP_384,10,9,12,218
EMP_385,7,7,8,162
EMP_386,10,4,5,174
EMP_387,5,4,7,118
EMP_388,10,8,10,208
EMP_389,5,4,5,114
EMP_390,7,6,7,154
EMP_391,9,5,7,172
EMP_392,5,3,4,106
EMP_393,1,10,12,116
EMP_394,10,2,4,160
EMP_395,10,9,11,216
EMP_396,1,10,13,118
EMP_397,2,9,12,122
EMP_398,6,1,4,106
EMP_399,9,10,12,212
EMP_400,8,3,5,144
EMP_401,5,8,11,150
EMP_402,1,6,7,82
EMP_403,7,5,7,148
EMP_404,5,5,6,122
EMP_405,6,6,7,142
EMP_406,7,7,9,164
EMP_407,3,1,3,68
EMP_408,10,9,10,214
EMP_409,3,3,4,82
EMP_410,5,4,7,118
EMP_411,6,10,13,178
EMP_412,9,1,3,140
EMP_413,5,10,13,166
EMP_414,1,3,6,62
EMP_415,4,2,5,90
EMP_416,5,2,5,102
EMP_417,10,1,2,150
EMP_418,10,8,10,208
EMP_419,5,3,6,110
EMP_420,7,3,4,130
EMP_421,4,6,7,118
EMP_422,1,8,9,98
EMP_423,5,9,12,158
EMP_424,7,9,12,182
EMP_425,10,4,6,176
EMP_426,10,5,8,186
EMP_427,6,2,5,114
EMP_428,5,9,10,154
EMP_429,4,8,10,136
EMP_430,2,3,6,74
EMP_431,4,9,12,146
EMP_432,10,3,4,166
EMP_433,10,9,10,214
EMP_434,3,2,5,78
EMP_435,10,10,12,224
EMP_436,1,9,11,108
EMP_437,8,8,9,182
EMP_438,5,9,10,154
EMP_439,4,5,8,114
EMP_440,8,2,3,134
EMP_441,7,8,11,174
EMP_442,2,6,8,96
EMP_443,1,8,10,100
EMP_444,4,5,8,114
EMP_445,8,10,11,198
EMP_446,2,2,4,64
EMP_447,3,6,7,106
EMP_448,1,5,7,76
EMP_449,1,5,8,78
EMP_450,3,1,4,70
EMP_451,5,2,5,102
EMP_452,3,8,10,124
EMP_453,1,3,4,58
EMP_454,1,10,11,114
EMP_455,8,3,4,142
EMP_456,10,8,10,208
EMP_457,2,8,10,112
EMP_458,3,2,4,76
EMP_459,2,8,10,112
EMP_460,3,1,3,68
EMP_461,7,6,7,154
EMP_462,1,8,10,100
EMP_463,10,3,5,168
EMP_464,8,8,9,182
EMP_465,10,1,3,152
EMP_466,10,9,10,214
EMP_467,10,9,10,214
EMP_468,2,5,8,90
EMP_469,3,10,13,142
EMP_470,9,4,7,166
EMP_471,7,6,9,158
EMP_472,4,7,9,128
EMP_473,10,5,8,186
EMP_474,5,10,11,162
EMP_475,2,9,11,120
EMP_476,8,3,6,146
EMP_477,4,7,8,126
EMP_478,9,10,12,212
EMP_479,5,10,12,164
EMP_480,9,5,8,174
EMP_481,4,7,9,128
EMP_482,10,2,3,158
EMP_483,5,4,6,116
EMP_484,9,2,3,146
EMP_485,8,7,9,176
EMP_486,3,2,5,78
EMP_487,1,1,2,42
EMP_488,3,9,11,132
EMP_489,4,1,3,80
EMP_490,2,8,10,112
EMP_491,1,2,3,50
EMP_492,7,8,9,170
EMP_493,8,3,4,142
EMP_494,7,6,9,158
EMP_495,5,3,6,110
EMP_496,1,7,8,90
EMP_497,7,10,12,188
EMP_498,7,9,12,182
