employee_id,performance,years_of_experience,projects_completed,bonus
EMP_499,9,2,3,146
EMP_500,3,5,7,100
EMP_501,9,6,9,182
EMP_502,1,4,6,68
EMP_503,1,4,6,68
EMP_504,4,4,6,104
EMP_505,9,2,4,148
EMP_506,6,4,7,130
EMP_507,3,1,4,70
EMP_508,1,6,9,86
EMP_509,4,1,2,78
EMP_510,9,10,13,214
EMP_511,3,6,8,108
EMP_512,9,1,4,142
EMP_513,7,6,8,156
EMP_514,4,10,11,150
EMP_515,3,8,10,124
EMP_516,10,2,4,160
EMP_517,5,2,4,100
EMP_518,5,4,5,114
EMP_519,3,3,6,86
EMP_520,9,4,7,166
EMP_521,4,7,8,126
EMP_522,5,1,3,92
EMP_523,4,6,9,122
EMP_524,5,3,4,106
EMP_525,7,10,13,190
EMP_526,9,7,8,186
EMP_527,7,10,12,188
EMP_528,5,2,5,102
EMP_529,10,2,3,158
EMP_530,10,4,7,178
EMP_531,7,1,4,118
EMP_532,10,3,6,170
EMP_533,5,9,12,158
EMP_534,3,7,8,114
EMP_535,7,7,9,164
EMP_536,2,4,5,78
EMP_537,9,2,3,146
EMP_538,10,4,5,174
EMP_539,10,6,8,192
EMP_540,1,3,6,62
EMP_541,6,1,4,106
EMP_542,7,8,11,174
EMP_543,8,5,7,160
EMP_544,10,5,8,186
EMP_545,9,4,6,164
EMP_546,2,6,9,98
EMP_547,10,3,6,170
EMP_548,2,9,10,118
EMP_549,5,5,7,124
EMP_550,5,3,4,106
EMP_551,6,1,2,102
EMP_552,3,10,11,138
EMP_553,8,6,8,168
EMP_554,1,2,4,52
EMP_555,6,3,6,122
EMP_556,4,1,2,78
EMP_557,1,9,12,110
EMP_558,7,8,9,170
EMP_559,9,2,4,148
EMP_560,4,8,10,136
EMP_561,4,9,11,144
EMP_562,6,1,2,102
EMP_563,3,5,7,100
EMP_564,6,8,9,158
EMP_565,7,2,5,126
EMP_566,10,4,5,174
EMP_567,10,7,10,202
EMP_568,3,3,4,82
EMP_569,7,5,8,150
EMP_570,3,8,10,124
EMP_571,2,10,13,130
EMP_572,10,3,5,168
EMP_573,4,4,6,104
EMP_574,8,9,12,194
EMP_575,9,7,8,186
EMP_576,7,1,2,114
EMP_577,1,4,5,66
EMP_578,3,4,5,90
EMP_579,9,9,10,202
EMP_580,1,6,8,84
EMP_581,9,9,10,202
EMP_582,8,6,8,168
EMP_583,1,6,8,84
EMP_584,6,5,7,136
EMP_585,5,5,8,126
EMP_586,6,2,5,114
EMP_587,10,8,10,208
EMP_588,5,8,11,150
EMP_589,6,1,2,102
EMP_590,5,8,9,146
EMP_591,5,5,7,124
EMP_592,4,2,3,86
EMP_593,3,2,4,76
EMP_594,3,6,8,108
EMP_595,4,9,10,142
EMP_596,9,1,4,142
EMP_597,2,6,7,94
EMP_598,9,9,10,202
EMP_599,1,8,10,100
EMP_600,1,6,8,84
EMP_601,5,3,5,108
EMP_602,6,8,10,160
EMP_603,6,9,12,170
EMP_604,3,1,4,70
EMP_605,7,9,12,182
EMP_606,9,6,8,180
EMP_607,10,6,8,192
EMP_608,8,4,6,152
EMP_609,6,1,4,106
EMP_610,8,10,12,200
EMP_611,5,8,9,146
EMP_612,8,2,3,134
EMP_613,10,1,3,152
EMP_614,4,2,3,86
EMP_615,10,1,2,150
EMP_616,8,1,4,130
EMP_617,10,9,11,216
EMP_618,2,1,3,56
EMP_619,5,4,7,118
EMP_620,9,10,11,210
EMP_621,4,6,7,118
EMP_622,6,7,9,152
EMP_623,1,2,3,50
EMP_624,9,6,9,182
EMP_625,1,7,10,94
EMP_626,5,10,12,164
EMP_627,4,10,13,154
EMP_628,3,2,5,78
EMP_629,6,2,4,112
EMP_630,2,10,13,130
EMP_631,3,7,10,118
EMP_632,5,1,4,94
EMP_633,9,8,9,194
EMP_634,2,3,5,72
EMP_635,10,6,8,192
EMP_636,8,9,11,192
EMP_637,2,6,7,94
EMP_638,5,9,10,154
EMP_639,7,7,9,164
EMP_640,8,9,10,190
EMP_641,1,2,4,52
EMP_642,6,8,9,158
EMP_643,1,8,11,102
EMP_644,2,2,5,66
EMP_645,1,4,6,68
EMP_646,5,7,8,138
EMP_647,10,4,5,174
EMP_648,9,4,7,166
EMP_649,6,6,9,146
EMP_650,1,10,11,114
EMP_651,1,6,7,82
EMP_652,2,10,11,126
EMP_653,9,3,4,154
EMP_654,3,9,10,130
EMP_655,1,10,11,114
EMP_656,5,2,4,100
EMP_657,7,6,7,154
EMP_658,6,7,10,154
EMP_659,1,9,11,108
EMP_660,5,3,4,106
EMP_661,5,10,13,166
EMP_662,6,3,5,120
EMP_663,3,7,10,118
EMP_664,5,4,5,114
EMP_665,7,8,9,170
EMP_666,5,7,8,138
EMP_667,5,5,6,122
EMP_668,5,7,9,140
EMP_669,10,3,5,168
EMP_670,10,2,5,162
EMP_671,3,6,7,106
EMP_672,1,2,5,54
EMP_673,5,3,5,108
EMP_674,9,6,7,178
EMP_675,1,5,6,74
EMP_676,3,8,10,124
EMP_677,4,9,11,144
EMP_678,1,3,5,60
EMP_679,1,10,12,116
EMP_680,8,3,5,144
EMP_681,2,3,4,70
EMP_682,8,6,8,168
EMP_683,7,1,2,114
EMP_684,10,7,8,198
EMP_685,10,1,3,152
EMP_686,2,5,7,88
EMP_687,6,10,11,174
EMP_688,6,8,10,160
EMP_689,3,4,6,92
EMP_690,2,5,7,88
EMP_691,1,4,7,70
EMP_692,6,4,5,126
EMP_693,5,8,11,150
EMP_694,9,2,4,148
EMP_695,1,1,4,46
EMP_696,7,3,5,132
EMP_697,5,9,12,158
EMP_698,5,4,6,116
EMP_699,2,10,13,130
EMP_700,3,5,8,102
EMP_701,7,2,5,126
EMP_702,6,4,5,126
EMP_703,2,2,5,66
EMP_704,6,2,3,110
EMP_705,2,4,6,80
EMP_706,2,6,9,98
EMP_707,2,7,9,104
EMP_708,3,10,12,140
EMP_709,2,3,6,74
EMP_710,4,3,4,94
EMP_711,9,10,13,214
EMP_712,6,6,8,144
EMP_713,1,3,5,60
EMP_714,8,2,5,138
EMP_715,7,8,9,170
EMP_716,10,5,6,182
EMP_717,3,1,3,68
EMP_718,1,3,5,60
EMP_719,5,10,11,162
EMP_720,4,8,11,138
EMP_721,10,4,6,176
EMP_722,8,7,8,174
EMP_723,1,10,12,116
EMP_724,10,2,5,162
EMP_725,1,7,8,90
EMP_726,4,5,7,112
EMP_727,8,5,8,162
EMP_728,5,6,8,132
EMP_729,2,9,12,122
EMP_730,6,6,9,146
EMP_731,5,8,9,146
EMP_732,2,7,10,106
EMP_733,3,9,11,132
EMP_734,9,4,7,166
EMP_735,7,2,5,126
EMP_736,7,7,8,162
EMP_737,6,6,9,146
EMP_738,8,1,4,130
EMP_739,4,9,11,144
EMP_740,8,9,10,190
EMP_741,4,2,3,86
EMP_742,8,3,4,142
EMP_743,9,5,8,174
EMP_744,3,5,6,98
EMP_745,3,1,4,70
EMP_746,2,8,11,114
EMP_747,10,8,10,208
EMP_748,3,4,6,92
EMP_749,3,7,9,116
EMP_750,5,10,12,164
EMP_751,5,3,5,108
EMP_752,2,6,9,98
EMP_753,10,10,13,226
EMP_754,6,10,11,174
EMP_755,5,9,12,158
EMP_756,6,1,4,106
EMP_757,1,5,7,76
EMP_758,5,4,7,118
EMP_759,9,8,10,196
EMP_760,10,1,2,150
EMP_761,2,9,10,118
EMP_762,1,6,9,86
EMP_763,10,4,5,174
EMP_764,9,9,12,206
EMP_765,10,5,6,182
EMP_766,9,5,7,172
EMP_767,9,5,7,172
EMP_768,6,1,3,104
EMP_769,8,1,3,128
EMP_770,1,8,11,102
EMP_771,10,8,9,206
EMP_772,4,6,9,122
EMP_773,1,4,6,68
EMP_774,8,2,5,138
EMP_775,1,2,3,50
EMP_776,3,9,12,134
EMP_777,4,5,6,110
EMP_778,8,4,7,154
EMP_779,6,10,11,174
EMP_780,10,1,2,150
EMP_781,7,7,9,164
EMP_782,8,3,4,142
EMP_783,2,6,8,96
EMP_784,10,5,7,184
EMP_785,8,5,7,160
EMP_786,3,5,8,102
EMP_787,7,1,4,118
EMP_788,3,1,4,70
EMP_789,7,3,6,134
EMP_790,2,10,11,126
EMP_791,10,4,5,174
EMP_792,6,5,8,138
EMP_793,3,2,3,74
EMP_794,3,8,9,122
EMP_795,9,2,4,148
EMP_796,7,9,11,180
EMP_797,5,2,4,100
EMP_798,10,9,11,216
EMP_799,7,7,8,162
EMP_800,9,8,11,198
EMP_801,1,2,3,50
EMP_802,7,7,8,162
EMP_803,6,6,7,142
EMP_804,10,4,6,176
EMP_805,9,7,9,188
EMP_806,1,4,6,68
EMP_807,4,2,5,90
EMP_808,9,10,11,210
EMP_809,4,7,10,130
EMP_810,10,8,10,208
EMP_811,3,2,5,78
EMP_812,9,5,6,170
EMP_813,2,1,2,54
EMP_814,4,7,9,128
EMP_815,6,8,10,160
EMP_816,2,6,9,98
EMP_817,8,5,7,160
EMP_818,8,6,8,168
EMP_819,1,2,3,50
EMP_820,3,1,3,68
EMP_821,10,7,9,200
EMP_822,9,7,8,186
EMP_823,5,10,11,162
EMP_824,6,10,13,178
EMP_825,4,2,4,88
EMP_826,10,2,3,158
EMP_827,2,1,4,58
EMP_828,8,10,13,202
EMP_829,6,8,10,160
EMP_830,5,8,10,148
EMP_831,9,1,4,142
EMP_832,1,8,9,98
EMP_833,5,9,12,158
EMP_834,6,4,6,128
EMP_835,5,1,2,90
EMP_836,6,1,2,102
EMP_837,6,3,6,122
EMP_838,7,5,7,148
EMP_839,4,5,8,114
EMP_840,8,9,12,194
EMP_841,7,10,13,190
EMP_842,9,2,3,146
EMP_843,7,2,3,122
EMP_844,3,6,8,108
EMP_845,3,9,11,132
EMP_846,8,1,4,130
EMP_847,5,9,12,158
EMP_848,4,9,12,146
EMP_849,8,9,11,192
EMP_850,6,5,6,134
EMP_851,2,9,10,118
EMP_852,4,4,7,106
EMP_853,4,2,5,90
EMP_854,6,6,9,146
EMP_855,6,4,7,130
EMP_856,1,6,8,84
EMP_857,8,3,4,142
EMP_858,6,6,9,146
EMP_859,3,2,4,76
EMP_860,9,2,5,150
EMP_861,2,9,12,122
EMP_862,8,7,8,174
EMP_863,10,3,6,170
EMP_864,3,1,2,66
EMP_865,5,8,9,146
EMP_866,6,6,7,142
EMP_867,10,7,9,200
EMP_868,6,9,11,168
EMP_869,4,5,6,110
EMP_870,3,1,4,70
EMP_871,4,10,11,150
EMP_872,1,7,10,94
EMP_873,4,5,6,110
EMP_874,1,3,6,62
EMP_875,1,9,11,108
EMP_876,10,1,4,154
EMP_877,6,1,2,102
EMP_878,5,1,3,92
EMP_879,4,3,6,98
EMP_880,3,6,9,110
EMP_881,1,10,13,118
EMP_882,6,3,6,122
EMP_883,2,8,11,114
EMP_884,8,10,12,200
EMP_885,10,2,4,160
EMP_886,5,9,11,156
EMP_887,7,3,5,132
EMP_888,10,5,6,182
EMP_889,2,10,12,128
EMP_890,8,8,11,186
EMP_891,2,2,5,66
EMP_892,4,6,8,120
EMP_893,1,5,8,78
EMP_894,5,10,12,164
EMP_895,9,9,12,206
EMP_896,1,5,6,74
EMP_897,9,2,3,146
EMP_898,8,5,7,160
EMP_899,6,4,6,128
EMP_900,7,7,9,164
EMP_901,3,6,9,110
EMP_902,1,2,4,52
EMP_903,5,5,6,122
EMP_904,2,7,10,106
EMP_905,5,7,9,140
EMP_906,8,5,8,162
EMP_907,9,9,12,206
EMP_908,2,4,6,80
EMP_909,3,3,6,86
EMP_910,3,4,5,90
EMP_911,1,5,6,74
EMP_912,8,6,9,170
EMP_913,6,3,5,120
EMP_914,8,2,5,138
EMP_915,9,4,5,162
EMP_916,5,5,8,126
EMP_917,3,4,7,94
EMP_918,5,3,4,106
EMP_919,5,8,11,150
EMP_920,5,10,13,166
EMP_921,3,4,6,92
EMP_922,10,2,4,160
EMP_923,4,2,3,86
EMP_924,9,1,2,138
EMP_925,10,4,5,174
EMP_926,9,10,12,212
EMP_927,2,9,10,118
EMP_928,8,7,8,174
EMP_929,8,10,11,198
EMP_930,7,7,9,164
EMP_931,8,7,10,178
EMP_932,3,8,9,122
EMP_933,6,1,4,106
EMP_934,1,10,11,114
EMP_935,7,10,13,190
EMP_936,1,8,10,100
EMP_937,9,4,6,164
EMP_938,1,4,5,66
EMP_939,1,4,7,70
EMP_940,7,6,8,156
EMP_941,2,7,8,102
EMP_942,5,6,7,130
EMP_943,8,1,3,128
EMP_944,8,8,10,184
EMP_945,3,10,11,138
EMP_946,7,7,10,166
EMP_947,3,6,9,110
EMP_948,6,6,9,146
EMP_949,6,5,6,134
EMP_950,3,6,8,108
EMP_951,7,9,10,178
EMP_952,3,10,12,140
EMP_953,8,9,12,194
EMP_954,10,10,13,226
EMP_955,4,8,10,136
EMP_956,1,10,12,116
EMP_957,4,9,10,142
EMP_958,7,10,13,190
EMP_959,4,8,9,134
EMP_960,6,8,9,158
EMP_961,9,1,2,138
EMP_962,1,10,13,118
EMP_963,5,5,6,122
EMP_964,7,4,5,138
EMP_965,1,2,3,50
EMP_966,4,8,9,134
EMP_967,6,3,4,118
EMP_968,2,4,5,78
EMP_969,10,7,10,202
EMP_970,5,10,11,162
EMP_971,10,9,11,216
EMP_972,1,2,3,50
EMP_973,6,3,4,118
EMP_974,6,4,7,130
EMP_975,4,10,13,154
EMP_976,8,1,3,128
EMP_977,4,7,9,128
EMP_978,8,2,5,138
EMP_979,8,5,8,162
EMP_980,5,1,2,90
EMP_981,4,3,6,98
EMP_982,2,2,4,64
EMP_983,3,1,2,66
EMP_984,3,7,9,116
EMP_985,4,5,6,110
EMP_986,4,1,4,82
EMP_987,10,6,8,192
EMP_988,5,5,6,122
EMP_989,4,3,4,94
EMP_990,10,7,10,202
EMP_991,8,10,13,202
EMP_992,6,9,12,170
EMP_993,6,9,11,168
EMP_994,8,9,10,190
EMP_995,7,2,5,126
EMP_996,10,3,5,168
EMP_997,10,7,9,200
EMP_998,8,5,7,160
EMP_999,2,2,5,66
EMP_1000,9,3,6,158
